period,period_start,period_end,period_residual_influence_score,max_period_score,top_event,top_target,top_event_n,top_event_gap_h1,top_event_hit_h1,qualified_top_event_count
2021-03-31,2021-01-01,2021-03-31,7.317465726382255,10.416643525693786,has_positive,2308.TW,5,0.041333446187917317,1.0,5
2024-12-31,2024-10-01,2024-12-31,5.882087617725043,24.090672044634474,volume_drop,00632R.TW,17,-0.120387762319086,0.35294117647058826,5
2018-12-31,2018-10-01,2018-12-31,4.409442821443498,4.779960926031379,volume_drop,2376.TW,5,-0.03844399999153395,0.2,5
2023-09-30,2023-07-03,2023-09-29,4.309382441510509,5.312398058177325,china_streak_3d,2382.TW,5,0.026380201838446415,0.6,5
2020-03-31,2020-01-01,2020-03-31,4.19603311558066,5.4204353057042525,pre_relief,2376.TW,5,0.018880531829527415,0.8,5
2020-09-30,2020-07-01,2020-09-30,4.167013289626335,4.729143271737972,has_relief,2303.TW,6,0.02087804348435252,0.5,5
2020-06-30,2020-04-01,2020-06-30,3.846557676226034,5.350183784982124,sig_potus,2308.TW,6,0.024888977384178036,1.0,5
2022-06-30,2022-04-01,2022-06-30,3.7978736424526724,4.110799900434586,positive_heavy,2377.TW,8,-0.016862369951972333,0.375,5
2024-06-30,2024-04-01,2024-06-28,3.7714380432289083,4.356650710238621,has_tariff,2454.TW,5,-0.02613854540152465,0.2,5
2023-06-30,2023-04-03,2023-06-30,3.72386083694402,4.293117633812994,pre_deal,2376.TW,11,0.01466361675013932,0.8181818181818182,5
2017-12-31,2017-10-02,2017-12-29,3.681736478990325,5.736073785164308,has_iran,2377.TW,5,0.021801376146407366,0.8,5
2018-06-30,2018-04-02,2018-06-29,3.51353938871746,4.127815318369162,china_streak_3d,2376.TW,7,0.019021820680851446,0.5714285714285714,5
2019-06-30,2019-04-01,2019-06-28,3.459469522230344,4.1309221705604715,has_market_brag,2376.TW,10,0.01828693906175727,0.8,5
2020-12-31,2020-10-01,2020-12-31,3.4197307220352955,4.2185724628155485,has_relief,2454.TW,6,0.028359763610977754,0.8333333333333334,5
2022-12-31,2022-10-03,2022-12-30,3.24336120423053,5.207660946111669,sig_potus,2376.TW,5,0.015354638649551122,0.8,5
2025-12-31,2025-10-01,2025-12-31,3.221694414489342,4.002978526621,volume_spike,3711.TW,7,0.0035139998291188364,0.5714285714285714,5
2024-03-31,2024-01-01,2024-03-29,3.0840196091425973,3.489910684299291,volume_drop,2382.TW,7,0.022883207382604607,0.7142857142857143,5
2018-03-31,2018-01-01,2018-03-30,3.044116641897773,3.786840046526779,has_russia,2376.TW,7,0.0358514183452935,0.7142857142857143,5
2018-09-30,2018-07-02,2018-09-28,2.993158779142636,3.5657026160878247,attack_heavy,2454.TW,13,-0.016499502984460825,0.23076923076923078,5
2017-06-30,2017-04-03,2017-06-30,2.695059377712296,3.627541883627821,has_russia,2303.TW,14,0.013227639348929166,0.6428571428571429,5
2022-09-30,2022-07-01,2022-09-30,2.5514239377878236,2.790816697440723,volume_spike,2376.TW,8,-0.0034733819216596976,0.5,5
2019-09-30,2019-07-01,2019-09-30,2.5183682305157524,2.872669860037206,open_tariff,2376.TW,11,0.010200043238068163,0.45454545454545453,5
2019-03-31,2019-01-01,2019-03-29,2.4940702407887736,2.58685787464406,has_action,2317.TW,9,0.005953243603619985,0.3333333333333333,5
2017-03-31,2017-01-05,2017-03-31,2.4747320683037386,2.8307477506574035,has_deal,3711.TW,8,0.021653478022127075,0.875,5
2023-12-31,2023-10-02,2023-12-29,2.299268091847973,2.7395028377611634,open_deal,2382.TW,7,-0.007338613117826569,0.14285714285714285,5
2019-12-31,2019-10-01,2019-12-31,2.2964663856606666,2.782671027947932,open_tariff,2454.TW,5,0.016975399361765314,0.8,5
2025-06-30,2025-04-01,2025-06-30,2.288413056104697,2.574990932535247,volume_drop,2308.TW,35,0.01298609996347867,0.5714285714285714,5
2026-03-31,2026-01-02,2026-03-25,2.1777613537387026,3.3159448120291537,volume_drop,2303.TW,22,-0.020358386881408574,0.36363636363636365,5
2017-09-30,2017-07-03,2017-09-29,2.054939526685063,2.938124813486309,pre_deal,2454.TW,5,0.007086047448752716,0.6,5
2023-03-31,2023-01-02,2023-03-31,1.8701027806406547,1.905762018837177,posts_very_high,2377.TW,9,-0.00734713398558791,0.3333333333333333,5
2025-09-30,2025-07-01,2025-09-30,1.842054889495763,2.307301500058886,volume_spike,2308.TW,10,0.003304296695650792,0.7,5
2025-03-31,2025-01-02,2025-03-31,1.4343450010197887,1.6391663471188302,silence_day,2382.TW,36,0.0021301370698078564,0.4166666666666667,5
2022-03-31,2022-01-03,2022-03-31,1.2791224121559952,1.8202304926129536,volume_drop,2308.TW,19,0.008325356009439264,0.6842105263157895,5
2024-09-30,2024-07-01,2024-09-30,0.9215042756383041,1.2981743980821978,volume_drop,2376.TW,10,0.004909496081290925,0.4,5
